HomeTeam,AwayTeam,match_date,market,probability_%,pro_tier,real_odds,ev_%
Antwerp,Royale Union SG,2026-09-20,away_win,62.5,PRO_MEDIUM,1.62,1.3
Levadeiakos,Olympiakos,2026-09-20,goals_over_25,56.3,PRO_MEDIUM,1.8,1.3
Millwall,West Ham,2026-09-19,away_win,57.9,PRO_MEDIUM,1.75,1.3
Millwall,West Ham,2026-09-19,dc_12,81.0,PRO_STRONG,1.25,1.3
Falkirk,Hearts,2026-09-15,dc_12,79.0,PRO_STRONG,1.28,1.1
Ath Madrid,Osasuna,2026-09-16,dc_1x,91.9,PRO_STRONG,1.1,1.1
Feyenoord,Utrecht,2026-09-20,dc_12,88.6,PRO_STRONG,1.14,1.0
Club Brugge,Genk,2026-09-20,dc_12,84.1,PRO_STRONG,1.2,0.9
Ofi Crete,Asteras Tripolis,2026-09-20,goals_under_25,62.3,PRO_MEDIUM,1.62,0.9
Estoril,Casa Pia,2026-09-20,dc_1x,83.4,PRO_STRONG,1.21,0.9
Espanol,Elche,2026-09-18,dc_1x,82.7,PRO_STRONG,1.22,0.9
Villarreal,Levante,2026-09-20,dc_12,82.6,PRO_STRONG,1.22,0.8
Hibernian,Aberdeen,2026-09-19,dc_1x,82.6,PRO_STRONG,1.22,0.8
Monza,Sassuolo,2026-09-18,dc_12,75.8,PRO_STRONG,1.33,0.8
Nottingham,Coventry,2026-09-19,home_win,60.3,PRO_MEDIUM,1.67,0.7
Torino,Roma,2026-09-14,away_win,65.8,PRO_MEDIUM,1.53,0.7
Udinese,Cagliari,2026-09-19,goals_under_25,62.1,PRO_MEDIUM,1.62,0.6
Parma,Genoa,2026-09-20,dc_x2,74.0,PRO_MEDIUM,1.36,0.6
Levante,Ath Bilbao,2026-09-16,dc_12,78.6,PRO_STRONG,1.28,0.6
Az Alkmaar,Telstar,2026-09-20,dc_12,88.2,PRO_STRONG,1.14,0.5
Roma,Inter,2026-09-19,dc_x2,66.9,PRO_MEDIUM,1.5,0.4
Kilmarnock,Hearts,2026-09-19,dc_12,80.3,PRO_STRONG,1.25,0.4
Fiorentina,Napoli,2026-09-20,dc_12,77.2,PRO_STRONG,1.3,0.4
Birmingham,Middlesbrough,2026-09-19,dc_12,77.2,PRO_STRONG,1.3,0.4
Guimaraes,Moreirense,2026-09-20,dc_12,78.4,PRO_STRONG,1.28,0.4
Paderborn,Hoffenheim,2026-09-20,dc_12,82.2,PRO_STRONG,1.22,0.3
Como,Parma,2026-09-14,dc_12,89.5,PRO_STRONG,1.12,0.2
Rio Ave,Estrela,2026-09-14,dc_x2,69.6,PRO_MEDIUM,1.44,0.2
Nijmegen,Go Ahead Eagles,2026-09-20,home_win,57.9,PRO_MEDIUM,1.73,0.2
Brighton,Arsenal,2026-09-19,dc_12,80.2,PRO_STRONG,1.25,0.2
Hamburg,Fc Koln,2026-09-19,dc_x2,69.6,PRO_MEDIUM,1.44,0.2
QPR,Preston,2026-09-19,home_win,60.0,PRO_MEDIUM,1.67,0.2
Ajax,Excelsior,2026-09-19,dc_12,89.4,PRO_STRONG,1.12,0.1
Gil Vicente,Maritimo,2026-09-19,dc_x2,59.6,PRO_MEDIUM,1.68,0.1
Inter,Udinese,2026-09-14,dc_12,89.4,PRO_STRONG,1.12,0.1
